id,wta_car,wta_elec,wta_green,province,weekday,ifsunny,location,aqi,income_level,living_area,female,marriage,education,youth,older_adults,partymember,age,heard_about_global_warming,know_about_low_carbon,know_about_carbon_neutrality,know_about_carbon_policy,carusetime,conditioner1month,mainuseelec,conditionernumber,publictrans,energy_consume2020,carown,conditioner1time,cityanswer,MADT ,impgreenele
2641,5,3,5,Guangdong,Wednesday,1,city,59,3,130,1,unmarried,associate,0,1,0,23,yes but disagree,heard and know,heard and know,heard and know,0,7,0,1,1,3165,0,4,zhongshan,3,1
1122,5,5,4,Beijing,Wednesday,1,county seat,65,4,70,1,married,associate,0,0,0,36,yes but disagree,heard but do not know,heard but do not know,heard but do not know,0,0,1,0,2,2200,0,0,beijing,2,0
1925,4,2,1,Hebei,Tuesday,1,city,63,2,70,1,married,associate,0,0,0,35,yes but disagree,heard and know,never,never,0,0,1,0,10,2000,0,0,chengde,1,0
3214,1,1,1,Guangdong,Thursday,1,rural,65,4,81,1,married,bachelor,1,0,0,36,yes and agree,heard and know,never,never,9,5,1,1,16,3529,1,5,guangzhou,6,1
2053,5,5,5,Zhejiang,Wednesday,1,city,170,5,90,0,married,bachelor,1,0,0,36,yes and agree,heard but do not know,heard but do not know,heard and know,3,2,1,1,3,1909,1,2,hangzhou,4,1
152,4,4,4,Hebei,Saturday,1,county seat,72,6,115,0,married,junior high,0,0,0,42,no,never,never,never,13,0,1,0,2,2482,1,0,chengde,1,1
3198,5,5,4,Guangdong,Thursday,1,city,67,4,60,0,unmarried,bachelor,0,1,0,37,yes and agree,heard and know,heard but do not know,heard but do not know,0,5,1,1,14,2537,0,3,guangzhou,3,1
1613,1,1,1,Hebei,Sunday,1,city,77,3,44,1,married,associate,0,1,0,34,yes and agree,heard but do not know,heard but do not know,heard but do not know,0,1,1,1,10,1625,0,1,chengde,1,0
2202,5,4,4,Guangdong,Thursday,0,city,69,6,110,0,married,associate,1,0,0,40,yes and agree,heard but do not know,never,never,1,5,1,1,0,3328,1,4,zhongshan,4,1
1013,7,5,4,Beijing,Tuesday,1,city,92,3,45,0,divorced,primary,0,0,0,46,yes and agree,never,never,never,0,4,1,1,8,2045,0,3,beijing,3,1
1164,7,4,4,Beijing,Monday,1,city,67,5,69,0,married,senior high,0,0,0,53,yes and agree,heard and know,heard and know,heard and know,6,2,1,1,8,3889,1,3,beijing,5,1
