,Rate,Cost
Random assignment,83.79605263157896,35.018217307718295
Logistic regression II,86.06965174129353,29.53757225433526
Logistic regression I,87.86407766990291,30.055248618784532
XGBoost algorithm II,87.43455497382199,27.275449101796408
XGBoost algorithm I,89.41798941798942,28.076923076923077
Perfect assignment,100.0,25.646853146853147
