"Variable","GW","LC","Neu","Pol"
"locationcounty seat","-0.374 (0.241)","-0.386 (0.246)","-0.351 (0.247)","-0.357 (0.244)"
"locationrural","-0.240 (0.304)","-0.246 (0.305)","-0.231 (0.300)","-0.276 (0.290)"
"income_level","0.108 (0.070)","0.110 (0.070)","0.098 (0.071)","0.068 (0.071)"
"know_about_carbon_neutralityheard but do not know","","","0.312 (0.222)",""
"know_about_carbon_neutralityheard and know","","","0.810** (0.347)",""
"know_about_carbon_neutralityfamiliar","","","0.394 (1.245)",""
"know_about_carbon_policyheard but do not know","","","","0.540** (0.228)"
"know_about_carbon_policyheard and know","","","","1.405*** (0.366)"
"know_about_carbon_policyfamiliar","","","","1.369** (0.563)"
