,Total_Recruited (N),Total_Recruited (N),Total_Recruited (N),Total_Recruited (N),Accept_Rate,Accept_Rate,Accept_Rate,Accept_Rate,Accept_Rate
Budget_Limit,1000,2000,3000,4000,1000,2000,3000,4000,Average
Group,,,,,,,,,
1. Ideal (Theoretical Max),183.0,212.0,232.0,250.0,1.0,1.0,1.0,1.0,1.0
2.1 XGBoost (All Features),47.0,94.0,132.0,165.0,0.9574468085106383,0.9148936170212766,0.9318181818181818,0.9151515151515152,0.9298275306254029
2.2 XGBoost (Demos Only),55.0,93.0,137.0,168.0,0.9636363636363636,0.956989247311828,0.9197080291970803,0.9047619047619048,0.9362738862267942
3.1 Ordered Logit (All Features),41.0,77.0,115.0,140.0,0.9512195121951219,0.922077922077922,0.9217391304347826,0.9142857142857143,0.9273305697483852
3.2 Ordered Logit (Demos Only),42.0,72.0,115.0,142.0,0.9285714285714286,0.9305555555555556,0.9391304347826087,0.9084507042253521,0.9266770307837362
4. Random (1000x Mean),30.5,64.0,111.5,142.5,0.9510752688172043,0.8984375,0.8557971014492753,0.8664137183403962,0.892930897151719
