,Rate,Cost
Random assignment,83.55263157894737,33.622426835317455
Logistic regression II,87.6923076923077,33.47953216374269
Logistic regression I,88.2051282051282,31.569767441860463
XGBoost algorithm II,88.88888888888889,26.875
XGBoost algorithm I,90.4494382022472,27.48447204968944
Perfect assignment,100.0,25.646853146853147
