,Rate,Cost
Random assignment,83.79605263157896,35.018217307718295
Logistic regression II,87.6923076923077,33.47953216374269
Logistic regression I,88.2051282051282,31.569767441860463
XGBoost algorithm II,88.37209302325581,28.32236842105263
XGBoost algorithm I,90.0,27.679738562091504
Perfect assignment,100.0,25.646853146853147
